,0
1983,"[179, 443, 690, 597, 557, 71, 422, 352, 584, 591]"
1984,"[146, 671, 404, 514, 592, 366, 141, 256, 132, 585]"
1985,"[612, 141, 293, 197, 121, 592, 359, 204, 527, 213]"
1986,"[223, 584, 658, 687, 686, 541, 539, 411, 409, 360]"
1987,"[197, 293, 27, 366, 173, 256, 132, 404, 146, 60]"
1988,"[27, 366, 173, 256, 132, 565, 671, 404, 146, 352]"
1989,"[293, 404, 197, 27, 141, 366, 173, 612, 121, 665]"
1990,"[173, 27, 366, 404, 146, 192, 256, 584, 268, 665]"
1991,"[197, 293, 27, 366, 404, 598, 256, 173, 585, 146]"
1992,"[366, 404, 27, 256, 293, 173, 585, 146, 647, 548]"
1993,"[27, 197, 366, 612, 121, 141, 173, 665, 256, 146]"
1994,"[612, 121, 598, 197, 123, 570, 141, 429, 27, 681]"
1995,"[197, 293, 640, 671, 38, 258, 146, 240, 585, 563]"
1996,"[27, 366, 173, 256, 132, 404, 146, 461, 416, 320]"
1997,"[612, 121, 570, 375, 429, 681, 598, 260, 242, 197]"
1998,"[445, 443, 586, 341, 233, 581, 360, 690, 533, 595]"
1999,"[173, 27, 140, 197, 612, 121, 459, 366, 570, 268]"
2000,"[193, 517, 460, 118, 524, 265, 512, 651, 103, 370]"
2001,"[193, 113, 561, 370, 655, 512, 460, 545, 524, 265]"
2002,"[193, 118, 651, 517, 113, 679, 124, 460, 512, 370]"
2003,"[193, 118, 512, 113, 26, 646, 460, 679, 651, 569]"
2004,"[193, 113, 561, 370, 512, 460, 650, 36, 524, 517]"
2005,"[517, 656, 651, 53, 54, 578, 25, 315, 361, 306]"
2006,"[193, 113, 561, 370, 198, 118, 512, 460, 91, 36]"
2007,"[561, 193, 570, 684, 651, 36, 241, 612, 118, 512]"
2008,"[193, 460, 113, 337, 165, 524, 265, 646, 395, 517]"
2009,"[193, 460, 517, 118, 451, 524, 265, 512, 124, 91]"
2010,"[348, 139, 316, 337, 327, 236, 631, 228, 37, 193]"
2011,"[193, 198, 561, 370, 113, 91, 103, 118, 510, 430]"
2012,"[443, 13, 337, 165, 278, 122, 14, 646, 517, 579]"
2013,"[510, 430, 15, 193, 198, 91, 517, 561, 545, 103]"
2014,"[193, 460, 118, 524, 265, 91, 517, 512, 103, 236]"
2015,"[193, 113, 561, 370, 512, 460, 524, 517, 265, 198]"
2016,"[193, 113, 561, 370, 512, 460, 524, 265, 198, 650]"
2017,"[302, 443, 14, 88, 412, 557, 440, 466, 390, 594]"
2018,"[651, 118, 517, 193, 113, 646, 561, 370, 684, 512]"
2019,"[651, 118, 2, 382, 612, 121, 414, 457, 258, 129]"
2020,"[193, 460, 655, 113, 524, 265, 118, 545, 444, 512]"
2021,"[193, 113, 198, 517, 561, 370, 510, 430, 512, 460]"
2022,"[118, 651, 193, 517, 655, 561, 370, 113, 512, 460]"
2023,"[193, 510, 460, 517, 103, 91, 118, 524, 265, 430]"
2024,"[193, 510, 118, 91, 460, 517, 103, 651, 524, 265]"
2025,"[193, 113, 517, 512, 330, 561, 370, 36, 118, 645]"
2026,"[193, 561, 512, 370, 113, 118, 460, 263, 651, 517]"
2027,"[612, 13, 178, 263, 306, 5, 473, 360, 267, 211]"
2028,"[684, 314, 100, 386, 651, 74, 162, 333, 360, 612]"
2029,"[193, 517, 113, 460, 524, 265, 512, 118, 395, 103]"
2030,"[193, 118, 517, 651, 460, 524, 265, 512, 103, 370]"
2031,"[684, 612, 314, 100, 517, 118, 460, 386, 655, 74]"
2032,"[193, 460, 118, 524, 517, 265, 113, 545, 512, 655]"
2033,"[193, 118, 651, 517, 460, 524, 265, 512, 103, 370]"
2034,"[193, 561, 265, 36, 241, 370, 113, 198, 570, 512]"
2035,"[193, 113, 561, 198, 370, 517, 512, 460, 510, 430]"
2036,"[118, 651, 193, 113, 545, 517, 561, 370, 655, 26]"
2037,"[193, 118, 460, 524, 265, 512, 370, 113, 517, 655]"
2038,"[26, 579, 193, 646, 619, 655, 165, 51, 315, 220]"
2039,"[193, 460, 113, 524, 265, 512, 370, 517, 561, 103]"
2040,"[193, 517, 118, 651, 113, 460, 265, 524, 395, 512]"
2041,"[118, 651, 249, 316, 228, 318, 208, 281, 522, 631]"
2042,"[193, 561, 460, 113, 370, 241, 512, 524, 265, 198]"
2043,"[193, 561, 118, 517, 113, 370, 241, 512, 460, 36]"
2044,"[228, 139, 327, 31, 631, 316, 337, 162, 539, 47]"
2045,"[193, 113, 679, 645, 517, 512, 118, 561, 370, 655]"
2046,"[193, 517, 561, 113, 198, 370, 118, 512, 460, 443]"
2047,"[545, 113, 118, 193, 315, 498, 36, 610, 512, 136]"
2048,"[193, 460, 524, 265, 655, 512, 103, 517, 370, 113]"
2049,"[193, 113, 561, 370, 655, 512, 460, 650, 36, 646]"
2050,"[193, 118, 561, 370, 113, 460, 651, 517, 512, 524]"
2051,"[127, 252, 242, 517, 651, 281, 118, 155, 659, 627]"
2052,"[193, 460, 524, 265, 517, 512, 113, 103, 370, 124]"
2053,"[139, 193, 337, 517, 228, 37, 631, 316, 327, 348]"
2054,"[193, 113, 118, 561, 370, 651, 512, 460, 517, 91]"
2055,"[193, 561, 370, 113, 512, 460, 655, 134, 152, 118]"
2056,"[193, 517, 561, 36, 570, 241, 242, 370, 113, 512]"
2057,"[193, 517, 118, 651, 460, 524, 265, 684, 512, 103]"
2058,"[651, 118, 520, 389, 517, 361, 684, 589, 306, 53]"
2059,"[193, 561, 370, 113, 118, 241, 36, 512, 460, 517]"
2060,"[88, 443, 308, 452, 535, 681, 483, 152, 488, 341]"
2061,"[193, 118, 517, 113, 655, 561, 370, 651, 679, 645]"
2062,"[193, 113, 517, 512, 370, 118, 561, 460, 91, 524]"
2063,"[193, 545, 118, 610, 460, 517, 340, 655, 651, 103]"
2064,"[193, 118, 651, 517, 460, 524, 265, 512, 103, 370]"
2065,"[443, 557, 352, 591, 584, 265, 79, 259, 30, 466]"
2066,"[193, 460, 646, 524, 265, 165, 655, 26, 512, 337]"
2067,"[651, 517, 118, 193, 460, 524, 265, 512, 103, 370]"
2068,"[193, 118, 651, 517, 545, 460, 655, 561, 37, 524]"
2069,"[255, 124, 78, 493, 655, 26, 645, 344, 118, 453]"
2070,"[193, 460, 315, 26, 642, 655, 103, 512, 524, 265]"
2071,"[316, 228, 139, 433, 631, 327, 38, 348, 671, 119]"
2072,"[122, 220, 684, 314, 619, 98, 74, 675, 323, 162]"
2073,"[193, 517, 198, 561, 20, 430, 510, 301, 36, 103]"
2074,"[651, 488, 118, 88, 517, 443, 673, 3, 24, 684]"
2075,"[193, 118, 460, 517, 524, 265, 512, 103, 160, 651]"
2076,"[651, 118, 517, 193, 113, 645, 561, 36, 545, 370]"
2077,"[193, 165, 460, 337, 512, 517, 646, 118, 524, 265]"
2078,"[193, 460, 118, 517, 315, 651, 524, 474, 265, 512]"
2079,"[193, 113, 561, 370, 512, 460, 269, 118, 524, 517]"
2080,"[193, 517, 460, 118, 645, 679, 124, 113, 651, 524]"
2081,"[193, 118, 517, 460, 524, 265, 651, 113, 512, 103]"
2082,"[193, 460, 524, 265, 118, 512, 91, 655, 517, 103]"
2083,"[193, 118, 460, 113, 524, 265, 512, 395, 517, 103]"
2084,"[651, 142, 2, 631, 316, 228, 139, 118, 673, 678]"
2085,"[193, 517, 113, 460, 524, 265, 395, 512, 118, 103]"
2086,"[15, 510, 430, 91, 554, 360, 198, 612, 555, 196]"
2087,"[193, 460, 370, 113, 118, 512, 561, 524, 265, 650]"
2088,"[193, 118, 236, 460, 517, 255, 524, 265, 91, 113]"
2089,"[330, 651, 118, 13, 340, 155, 517, 658, 175, 627]"
2090,"[193, 512, 561, 370, 113, 460, 517, 426, 524, 265]"
2091,"[118, 651, 193, 517, 460, 315, 524, 265, 103, 36]"
2092,"[193, 460, 524, 517, 265, 118, 512, 651, 103, 370]"
2093,"[193, 460, 113, 524, 265, 517, 512, 395, 118, 103]"
2094,"[118, 193, 651, 113, 655, 198, 517, 315, 152, 561]"
2095,"[193, 512, 460, 569, 524, 517, 265, 118, 124, 103]"
2096,"[236, 193, 88, 341, 345, 102, 64, 535, 460, 512]"
2097,"[651, 589, 511, 118, 389, 213, 520, 684, 359, 69]"
2098,"[193, 113, 460, 370, 561, 512, 524, 265, 517, 118]"
2099,"[193, 139, 517, 460, 337, 37, 524, 265, 48, 236]"
2100,"[80, 61, 221, 186, 136, 121, 691, 553, 551, 126]"
2101,"[391, 153, 369, 434, 611, 557, 349, 114, 130, 443]"
2102,"[153, 391, 611, 492, 664, 613, 2, 142, 35, 673]"
2103,"[391, 369, 131, 142, 167, 611, 670, 664, 10, 153]"
2104,"[80, 611, 153, 240, 307, 609, 235, 513, 388, 309]"
2105,"[606, 153, 514, 391, 310, 77, 102, 256, 132, 309]"
2106,"[153, 391, 681, 29, 13, 492, 598, 443, 302, 378]"
2107,"[391, 153, 369, 142, 443, 114, 167, 130, 218, 434]"
2108,"[307, 201, 501, 670, 237, 607, 7, 157, 513, 641]"
2109,"[611, 529, 396, 73, 533, 156, 500, 184, 168, 110]"
2110,"[391, 369, 153, 167, 142, 131, 557, 443, 114, 218]"
2111,"[153, 391, 492, 585, 443, 557, 434, 611, 584, 352]"
2112,"[612, 121, 570, 375, 429, 260, 563, 107, 308, 681]"
2113,"[130, 369, 142, 391, 153, 89, 4, 611, 625, 492]"
2114,"[153, 611, 130, 499, 391, 471, 237, 194, 31, 571]"
2115,"[492, 611, 153, 391, 570, 369, 612, 121, 142, 375]"
2116,"[391, 29, 369, 142, 492, 167, 131, 477, 153, 434]"
2117,"[153, 391, 369, 611, 130, 492, 585, 443, 557, 615]"
2118,"[131, 142, 369, 130, 391, 167, 29, 664, 331, 168]"
2119,"[391, 153, 369, 142, 638, 492, 473, 130, 114, 167]"
2120,"[443, 131, 369, 167, 142, 391, 477, 146, 671, 557]"
2121,"[130, 4, 369, 14, 267, 585, 346, 316, 557, 492]"
2122,"[391, 153, 130, 473, 261, 611, 203, 13, 222, 349]"
2123,"[391, 153, 557, 443, 167, 434, 369, 591, 584, 352]"
2124,"[131, 142, 420, 391, 2, 319, 483, 395, 216, 113]"
2125,"[391, 130, 153, 611, 369, 349, 638, 434, 142, 613]"
2126,"[162, 612, 121, 673, 24, 375, 142, 2, 570, 503]"
2127,"[611, 557, 153, 391, 492, 369, 585, 443, 615, 664]"
2128,"[153, 391, 611, 434, 492, 130, 443, 557, 349, 591]"
2129,"[153, 391, 443, 557, 168, 158, 114, 492, 167, 658]"
2130,"[391, 129, 492, 311, 638, 452, 153, 358, 611, 168]"
2131,"[391, 142, 369, 167, 131, 557, 434, 420, 153, 349]"
2132,"[203, 286, 272, 261, 340, 473, 231, 627, 438, 368]"
2133,"[391, 153, 611, 492, 369, 142, 502, 130, 664, 613]"
2134,"[443, 153, 391, 557, 79, 114, 168, 88, 591, 584]"
2135,"[611, 557, 153, 391, 492, 394, 201, 147, 584, 234]"
2136,"[391, 153, 443, 557, 611, 492, 273, 79, 88, 681]"
2137,"[391, 153, 434, 130, 443, 557, 168, 591, 584, 352]"
2138,"[391, 153, 557, 443, 434, 378, 369, 167, 440, 142]"
2139,"[611, 492, 638, 585, 615, 369, 44, 62, 13, 452]"
2140,"[369, 492, 153, 142, 130, 391, 557, 443, 434, 167]"
2141,"[89, 153, 391, 130, 681, 612, 598, 443, 121, 260]"
2142,"[611, 310, 153, 564, 355, 291, 568, 248, 692, 391]"
2143,"[391, 153, 611, 130, 358, 129, 369, 492, 142, 473]"
2144,"[153, 391, 611, 443, 492, 168, 557, 259, 529, 73]"
2145,"[557, 153, 443, 14, 391, 422, 302, 111, 88, 585]"
2146,"[612, 121, 570, 429, 681, 375, 693, 260, 207, 328]"
2147,"[391, 611, 153, 369, 142, 130, 664, 349, 434, 557]"
2148,"[391, 557, 443, 167, 434, 259, 581, 690, 71, 88]"
2149,"[130, 391, 153, 369, 611, 228, 4, 142, 492, 555]"
2150,"[391, 153, 492, 129, 311, 611, 142, 557, 131, 167]"
2151,"[153, 391, 492, 443, 502, 540, 452, 557, 79, 402]"
2152,"[391, 153, 142, 611, 369, 130, 473, 13, 537, 349]"
2153,"[280, 606, 501, 641, 157, 201, 237, 307, 235, 182]"
2154,"[671, 153, 146, 28, 61, 391, 38, 668, 656, 404]"
2155,"[391, 153, 557, 167, 142, 443, 369, 586, 88, 131]"
2156,"[80, 221, 396, 61, 691, 611, 553, 186, 529, 166]"
2157,"[492, 443, 153, 452, 391, 88, 29, 628, 586, 14]"
2158,"[452, 391, 458, 153, 628, 492, 229, 638, 578, 368]"
2159,"[612, 310, 513, 153, 107, 609, 121, 235, 240, 501]"
2160,"[398, 153, 443, 557, 492, 391, 622, 110, 591, 584]"
2161,"[391, 369, 153, 130, 142, 349, 218, 434, 473, 638]"
2162,"[391, 491, 28, 83, 142, 369, 108, 130, 235, 473]"
2163,"[611, 153, 391, 492, 557, 443, 502, 585, 540, 369]"
2164,"[369, 130, 391, 142, 349, 153, 638, 611, 434, 473]"
2165,"[563, 38, 258, 671, 146, 287, 80, 404, 514, 668]"
2166,"[391, 369, 142, 131, 167, 563, 130, 129, 153, 358]"
2167,"[391, 153, 611, 434, 369, 492, 28, 142, 349, 130]"
2168,"[153, 391, 443, 79, 557, 492, 452, 167, 352, 611]"
2169,"[280, 237, 641, 307, 201, 471, 147, 606, 240, 607]"
2170,"[391, 153, 369, 611, 142, 130, 28, 473, 349, 434]"
2171,"[90, 420, 395, 216, 130, 336, 35, 433, 398, 632]"
2172,"[612, 121, 530, 473, 438, 570, 429, 2, 123, 153]"
2173,"[647, 584, 79, 394, 548, 352, 557, 443, 585, 283]"
2174,"[153, 391, 611, 492, 434, 664, 613, 557, 130, 443]"
2175,"[443, 66, 502, 557, 398, 290, 80, 627, 591, 409]"
2176,"[611, 404, 664, 153, 592, 33, 376, 670, 527, 213]"
2177,"[612, 121, 570, 375, 429, 260, 681, 242, 423, 277]"
2178,"[130, 4, 267, 316, 595, 346, 139, 506, 653, 537]"
2179,"[391, 153, 369, 611, 142, 130, 349, 434, 638, 99]"
2180,"[443, 349, 88, 434, 391, 390, 311, 427, 643, 604]"
2181,"[443, 586, 153, 88, 13, 391, 557, 14, 111, 167]"
2182,"[80, 150, 611, 691, 268, 221, 553, 664, 529, 396]"
2183,"[391, 153, 611, 131, 369, 142, 176, 214, 114, 492]"
2184,"[391, 153, 611, 142, 130, 249, 434, 471, 349, 499]"
2185,"[627, 612, 121, 123, 681, 259, 260, 390, 474, 340]"
2186,"[153, 391, 611, 26, 571, 499, 319, 142, 271, 498]"
2187,"[391, 142, 369, 153, 638, 131, 612, 121, 611, 130]"
2188,"[391, 369, 443, 142, 3, 130, 188, 17, 153, 623]"
2189,"[130, 391, 153, 492, 638, 452, 434, 557, 628, 443]"
2190,"[13, 586, 391, 88, 302, 14, 443, 142, 557, 585]"
2191,"[153, 391, 557, 443, 673, 492, 503, 402, 154, 591]"
2192,"[130, 4, 267, 14, 330, 316, 537, 119, 261, 627]"
2193,"[80, 121, 166, 153, 611, 553, 691, 221, 150, 694]"
2194,"[153, 391, 129, 557, 311, 492, 443, 434, 167, 369]"
2195,"[153, 391, 611, 492, 443, 434, 130, 349, 88, 369]"
2196,"[443, 586, 153, 88, 13, 391, 557, 14, 111, 167]"
2197,"[130, 391, 369, 4, 142, 316, 537, 496, 433, 89]"
2198,"[391, 153, 611, 369, 492, 142, 664, 613, 130, 28]"
2199,"[80, 221, 396, 61, 691, 611, 553, 186, 529, 166]"
2200,"[677, 499, 525, 357, 50, 382, 257, 673, 385, 676]"
2201,"[322, 632, 478, 590, 125, 436, 675, 75, 50, 160]"
2202,"[550, 677, 80, 525, 357, 50, 385, 673, 676, 354]"
2203,"[50, 499, 677, 673, 525, 257, 676, 382, 357, 420]"
2204,"[420, 499, 676, 50, 673, 677, 525, 292, 385, 373]"
2205,"[385, 612, 121, 570, 525, 598, 505, 299, 601, 375]"
2206,"[50, 525, 677, 257, 357, 420, 676, 673, 385, 382]"
2207,"[420, 499, 50, 525, 382, 677, 292, 257, 357, 239]"
2208,"[677, 382, 50, 525, 673, 357, 257, 676, 499, 385]"
2209,"[499, 420, 676, 50, 292, 673, 525, 677, 385, 373]"
2210,"[50, 499, 525, 677, 676, 673, 357, 420, 292, 385]"
2211,"[80, 324, 239, 121, 322, 694, 691, 582, 553, 536]"
2212,"[50, 677, 525, 676, 357, 673, 382, 385, 499, 257]"
2213,"[50, 420, 525, 677, 601, 676, 292, 673, 357, 382]"
2214,"[239, 249, 499, 208, 75, 53, 675, 309, 95, 522]"
2215,"[50, 385, 612, 121, 357, 590, 676, 494, 596, 317]"
2216,"[677, 382, 50, 420, 673, 525, 676, 499, 257, 129]"
2217,"[50, 385, 676, 525, 677, 357, 673, 601, 541, 299]"
2218,"[677, 525, 50, 357, 550, 676, 673, 385, 354, 420]"
2219,"[499, 591, 466, 80, 457, 557, 259, 677, 409, 617]"
2220,"[50, 676, 420, 525, 677, 385, 382, 673, 292, 357]"
2221,"[420, 50, 525, 499, 677, 292, 357, 382, 257, 385]"
2222,"[420, 402, 299, 499, 675, 673, 503, 471, 162, 154]"
2223,"[357, 50, 525, 677, 257, 382, 385, 676, 673, 442]"
2224,"[525, 50, 357, 385, 677, 382, 673, 676, 292, 257]"
2225,"[525, 50, 357, 499, 677, 385, 676, 673, 382, 257]"
2226,"[67, 239, 75, 382, 673, 675, 499, 582, 309, 478]"
2227,"[50, 292, 525, 677, 382, 676, 673, 373, 436, 357]"
2228,"[681, 495, 378, 674, 34, 188, 239, 250, 219, 683]"
2229,"[50, 676, 385, 590, 596, 322, 632, 494, 478, 317]"
2230,"[457, 486, 357, 420, 443, 557, 466, 483, 395, 216]"
2231,"[304, 676, 499, 414, 550, 385, 431, 145, 695, 694]"
2232,"[676, 590, 322, 385, 50, 632, 297, 596, 494, 478]"
2233,"[50, 525, 677, 382, 676, 673, 357, 499, 420, 373]"
2234,"[420, 525, 50, 292, 357, 385, 677, 675, 395, 216]"
2235,"[50, 612, 121, 257, 550, 570, 385, 429, 357, 681]"
2236,"[50, 525, 357, 677, 499, 420, 385, 673, 676, 382]"
2237,"[677, 673, 382, 50, 676, 420, 499, 525, 257, 129]"
2238,"[677, 50, 527, 213, 420, 525, 592, 673, 382, 676]"
2239,"[50, 676, 677, 420, 525, 673, 382, 292, 385, 357]"
2240,"[420, 50, 525, 677, 292, 676, 673, 357, 385, 499]"
2241,"[525, 357, 50, 354, 27, 499, 677, 385, 598, 366]"
2242,"[499, 50, 466, 677, 129, 382, 249, 673, 357, 455]"
2243,"[50, 525, 676, 385, 357, 677, 436, 382, 673, 601]"
2244,"[50, 525, 677, 420, 499, 382, 257, 357, 676, 673]"
2245,"[499, 673, 471, 420, 382, 676, 24, 292, 162, 503]"
2246,"[382, 257, 442, 41, 612, 121, 260, 429, 570, 681]"
2247,"[499, 50, 525, 677, 357, 676, 673, 382, 257, 420]"
2248,"[525, 50, 677, 499, 385, 541, 420, 676, 673, 601]"
2249,"[50, 525, 677, 499, 673, 382, 676, 385, 357, 541]"
2250,"[525, 541, 677, 385, 50, 601, 465, 596, 233, 185]"
2251,"[50, 382, 525, 677, 357, 673, 385, 257, 676, 442]"
2252,"[382, 612, 121, 677, 601, 257, 50, 357, 442, 41]"
2253,"[499, 676, 50, 677, 420, 673, 525, 382, 373, 292]"
2254,"[525, 50, 357, 677, 499, 382, 257, 385, 676, 673]"
2255,"[50, 385, 357, 590, 676, 525, 596, 632, 494, 677]"
2256,"[525, 357, 385, 50, 676, 673, 677, 601, 354, 373]"
2257,"[443, 557, 499, 591, 584, 466, 352, 265, 259, 414]"
2258,"[499, 677, 420, 50, 382, 673, 525, 436, 676, 129]"
2259,"[677, 525, 385, 50, 541, 382, 601, 673, 465, 676]"
2260,"[50, 420, 385, 677, 676, 525, 257, 322, 673, 121]"
2261,"[499, 676, 677, 50, 673, 525, 257, 239, 550, 414]"
2262,"[499, 50, 590, 297, 197, 385, 596, 676, 459, 494]"
2263,"[499, 50, 382, 357, 257, 677, 673, 525, 443, 681]"
2264,"[50, 499, 525, 677, 676, 673, 420, 357, 382, 436]"
2265,"[676, 525, 357, 50, 499, 385, 677, 382, 257, 673]"
2266,"[525, 676, 420, 50, 677, 354, 292, 385, 673, 357]"
2267,"[676, 50, 385, 420, 292, 525, 677, 590, 596, 322]"
2268,"[50, 673, 525, 677, 503, 499, 676, 471, 402, 162]"
2269,"[67, 442, 382, 257, 41, 323, 317, 596, 541, 465]"
2270,"[50, 385, 525, 357, 499, 676, 677, 382, 257, 673]"
2271,"[499, 420, 50, 525, 677, 292, 676, 673, 357, 385]"
2272,"[385, 50, 590, 478, 125, 676, 494, 297, 2, 596]"
2273,"[677, 357, 525, 499, 50, 385, 550, 121, 80, 354]"
2274,"[420, 50, 499, 292, 676, 525, 677, 673, 373, 385]"
2275,"[357, 257, 259, 382, 67, 50, 675, 612, 121, 162]"
2276,"[612, 121, 50, 357, 570, 429, 385, 525, 382, 257]"
2277,"[385, 601, 525, 185, 541, 596, 465, 612, 121, 259]"
2278,"[385, 50, 590, 676, 420, 322, 596, 632, 494, 478]"
2279,"[525, 385, 601, 357, 677, 50, 598, 382, 299, 541]"
2280,"[525, 385, 499, 541, 601, 677, 50, 259, 299, 675]"
2281,"[525, 382, 677, 50, 373, 354, 673, 292, 676, 499]"
2282,"[357, 525, 50, 420, 385, 676, 677, 673, 382, 257]"
2283,"[50, 525, 677, 420, 385, 357, 676, 673, 292, 601]"
2284,"[525, 50, 601, 677, 357, 385, 673, 382, 257, 676]"
2285,"[499, 50, 525, 357, 676, 257, 677, 385, 673, 382]"
2286,"[677, 50, 525, 673, 676, 357, 382, 499, 420, 257]"
2287,"[50, 357, 525, 499, 385, 677, 382, 257, 676, 673]"
2288,"[499, 673, 676, 471, 420, 670, 607, 237, 541, 404]"
2289,"[676, 129, 466, 414, 385, 420, 436, 675, 382, 259]"
2290,"[673, 50, 499, 676, 299, 385, 525, 677, 420, 257]"
2291,"[525, 50, 385, 354, 357, 676, 590, 612, 121, 257]"
2292,"[323, 598, 67, 259, 162, 185, 385, 612, 121, 289]"
2293,"[677, 525, 50, 357, 601, 382, 121, 257, 385, 673]"
2294,"[420, 499, 50, 676, 673, 525, 677, 385, 292, 357]"
2295,"[50, 385, 676, 357, 590, 297, 596, 494, 322, 459]"
2296,"[357, 457, 525, 50, 601, 436, 385, 486, 382, 677]"
2297,"[357, 525, 50, 677, 385, 257, 499, 673, 676, 382]"
2298,"[525, 50, 677, 673, 354, 382, 499, 676, 503, 471]"
2299,"[676, 50, 385, 525, 357, 677, 550, 673, 601, 499]"
2300,"[590, 10, 97, 632, 543, 324, 125, 670, 607, 513]"
2301,"[443, 557, 414, 664, 469, 168, 591, 584, 352, 265]"
2302,"[378, 10, 440, 151, 292, 268, 483, 201, 501, 157]"
2303,"[10, 268, 292, 201, 184, 443, 557, 501, 157, 607]"
2304,"[661, 640, 173, 10, 181, 268, 607, 376, 307, 201]"
2305,"[292, 420, 50, 10, 268, 673, 483, 525, 677, 598]"
2306,"[608, 167, 168, 123, 598, 469, 414, 335, 253, 443]"
2307,"[292, 268, 10, 420, 670, 607, 543, 513, 501, 482]"
2308,"[443, 79, 167, 584, 557, 446, 168, 158, 352, 608]"
2309,"[169, 378, 261, 414, 598, 119, 331, 456, 483, 168]"
2310,"[572, 624, 582, 218, 156, 217, 513, 425, 332, 223]"
2311,"[470, 552, 295, 116, 431, 285, 99, 177, 176, 96]"
2312,"[292, 268, 10, 201, 501, 157, 607, 543, 482, 670]"
2313,"[378, 292, 10, 268, 670, 607, 543, 513, 501, 482]"
2314,"[10, 268, 292, 598, 173, 261, 607, 376, 307, 201]"
2315,"[10, 324, 590, 543, 513, 376, 33, 670, 607, 501]"
2316,"[10, 201, 443, 557, 167, 501, 157, 184, 607, 543]"
2317,"[10, 292, 268, 607, 543, 513, 501, 376, 307, 201]"
2318,"[10, 201, 443, 557, 184, 167, 501, 157, 543, 607]"
2319,"[169, 292, 151, 268, 261, 10, 456, 598, 335, 670]"
2320,"[10, 598, 292, 268, 363, 670, 433, 398, 336, 607]"
2321,"[292, 33, 376, 10, 543, 513, 420, 607, 307, 201]"
2322,"[168, 443, 584, 557, 352, 469, 414, 79, 647, 548]"
2323,"[181, 415, 598, 261, 363, 253, 123, 222, 663, 608]"
2324,"[292, 10, 673, 268, 607, 499, 157, 24, 376, 137]"
2325,"[378, 440, 361, 331, 414, 139, 390, 623, 541, 359]"
2326,"[10, 292, 268, 378, 151, 590, 324, 670, 607, 543]"
2327,"[592, 33, 527, 213, 583, 378, 141, 404, 612, 376]"
2328,"[10, 292, 268, 598, 335, 261, 670, 607, 543, 513]"
2329,"[415, 332, 141, 664, 366, 181, 598, 404, 27, 268]"
2330,"[443, 335, 167, 585, 608, 79, 584, 10, 352, 168]"
2331,"[166, 363, 502, 433, 398, 336, 643, 632, 604, 504]"
2332,"[443, 557, 195, 88, 440, 302, 14, 681, 584, 390]"
2333,"[169, 292, 151, 268, 261, 456, 598, 10, 201, 501]"
2334,"[378, 590, 125, 297, 97, 359, 440, 322, 478, 612]"
2335,"[10, 201, 259, 443, 501, 157, 268, 557, 184, 543]"
2336,"[459, 527, 213, 592, 168, 33, 389, 326, 583, 560]"
2337,"[10, 612, 121, 482, 268, 607, 376, 307, 201, 137]"
2338,"[173, 268, 376, 366, 607, 137, 7, 404, 307, 201]"
2339,"[292, 598, 378, 268, 253, 123, 10, 261, 414, 168]"
2340,"[10, 292, 268, 167, 670, 607, 543, 513, 501, 482]"
2341,"[598, 123, 292, 10, 268, 681, 612, 121, 141, 482]"
2342,"[292, 10, 259, 268, 201, 184, 598, 390, 443, 501]"
2343,"[181, 415, 335, 598, 261, 640, 636, 603, 156, 253]"
2344,"[33, 10, 527, 213, 543, 513, 592, 292, 376, 268]"
2345,"[10, 607, 137, 7, 157, 670, 376, 307, 201, 268]"
2346,"[10, 33, 292, 324, 543, 513, 376, 268, 670, 589]"
2347,"[590, 10, 33, 125, 292, 324, 322, 596, 268, 632]"
2348,"[584, 167, 223, 120, 598, 168, 283, 591, 658, 541]"
2349,"[612, 513, 33, 543, 10, 482, 359, 376, 592, 527]"
2350,"[10, 670, 607, 543, 513, 501, 482, 376, 307, 292]"
2351,"[607, 157, 10, 201, 501, 137, 7, 184, 670, 543]"
2352,"[378, 10, 292, 268, 670, 607, 543, 513, 501, 482]"
2353,"[443, 557, 259, 30, 79, 681, 168, 184, 88, 598]"
2354,"[292, 10, 420, 50, 513, 268, 482, 525, 382, 257]"
2355,"[10, 670, 607, 543, 513, 501, 482, 376, 307, 292]"
2356,"[10, 292, 268, 670, 607, 376, 137, 7, 157, 500]"
2357,"[10, 173, 607, 376, 307, 201, 137, 7, 366, 24]"
2358,"[443, 557, 469, 414, 168, 184, 591, 584, 352, 292]"
2359,"[10, 167, 201, 443, 557, 501, 157, 184, 607, 543]"
2360,"[6, 339, 232, 10, 266, 151, 421, 495, 483, 183]"
2361,"[598, 443, 378, 253, 331, 292, 168, 414, 123, 268]"
2362,"[10, 292, 268, 670, 607, 543, 513, 501, 482, 376]"
2363,"[33, 268, 527, 376, 292, 173, 583, 141, 366, 543]"
2364,"[10, 292, 268, 670, 607, 543, 513, 501, 482, 376]"
2365,"[10, 376, 607, 137, 7, 670, 157, 335, 543, 513]"
2366,"[443, 70, 495, 163, 79, 88, 584, 283, 541, 402]"
2367,"[10, 518, 30, 670, 607, 543, 513, 501, 482, 376]"
2368,"[80, 443, 10, 598, 292, 168, 268, 184, 157, 253]"
2369,"[414, 443, 557, 378, 469, 168, 591, 584, 440, 352]"
2370,"[598, 443, 10, 681, 495, 184, 501, 157, 88, 195]"
